atr_mult,tp_mult,ema_fast,ema_slow,vol_mult,Return [%]
2.0,4.0,5,60,2.0,-2.782261628374381
2.0,4.0,10,40,1.0,-6.063552258954787
2.0,4.0,10,40,1.5,-0.017250666067993733
2.0,4.0,10,40,2.0,-3.4328293210710945
2.0,4.0,10,50,1.0,-5.35070020337791
2.0,4.0,10,50,1.5,0.014157356567302487
2.0,4.0,10,50,2.0,-1.5280331263515108
2.0,4.0,10,60,1.0,-4.141544352024685
2.0,4.0,10,60,1.5,-0.3425811517334659
2.0,4.0,10,60,2.0,-1.9988244309343646
2.0,4.0,15,40,1.0,-8.429381641889359
2.0,4.0,15,40,1.5,-3.358127180437441
2.0,4.0,15,40,2.0,-1.8688267789568274
2.0,4.0,15,50,1.0,-7.113557926417852
2.0,4.0,15,50,1.5,-3.16404930951805
2.0,4.0,15,50,2.0,-1.9714728220476354
2.0,4.0,15,60,1.0,-6.644059781537835
2.0,4.0,15,60,1.5,-3.187720621207118
2.0,4.0,15,60,2.0,-1.7865316678728234
2.0,5.0,5,40,1.0,-7.651748539515883
2.0,5.0,5,40,1.5,-2.45601409101213
2.0,5.0,5,40,2.0,-0.7529962826102019
2.0,5.0,5,50,1.0,-5.942499822910886
2.0,5.0,5,50,1.5,-0.0474113842337465
2.0,5.0,5,50,2.0,-1.2219695583670362
2.0,5.0,5,60,1.0,-6.289026249433228
2.0,5.0,5,60,1.5,0.21600087406704915
2.0,5.0,5,60,2.0,-1.1786353261893054
2.0,5.0,10,40,1.0,-10.808442503444057
2.0,5.0,10,40,1.5,-3.2801245572335573
2.0,5.0,10,40,2.0,-1.883801664210696
2.0,5.0,10,50,1.0,-9.942631057128875
2.0,5.0,10,50,1.5,-3.459493895438063
2.0,5.0,10,50,2.0,1.206238371276886
2.0,5.0,10,60,1.0,-8.968050623256095
2.0,5.0,10,60,1.5,-3.459493895438063
2.0,5.0,10,60,2.0,-3.234874974278027
2.0,5.0,15,40,1.0,-9.927163828996854
2.0,5.0,15,40,1.5,-3.273660748596194
2.0,5.0,15,40,2.0,0.0642383178710952
2.0,5.0,15,50,1.0,-7.934297234453461
2.0,5.0,15,50,1.5,-2.121243462568036
2.0,5.0,15,50,2.0,-0.04783968719477343
2.0,5.0,15,60,1.0,-8.18738027500698
2.0,5.0,15,60,1.5,-2.4835352467564005
2.0,5.0,15,60,2.0,0.11291020276756171
2.0,6.0,5,40,1.0,-5.794772081168012
2.0,6.0,5,40,1.5,-0.14414131221228674
2.0,6.0,5,40,2.0,-4.6631381386021715
2.0,6.0,5,50,1.0,-5.879665169982891
2.0,6.0,5,50,1.5,-3.498220630144424
2.0,6.0,5,50,2.0,-4.184828914620575
2.0,6.0,5,60,1.0,-9.458295011989048
2.0,6.0,5,60,1.5,-3.5488159728568283
2.0,6.0,5,60,2.0,-4.454766255754821
2.0,6.0,10,40,1.0,-10.280755348903076
2.0,6.0,10,40,1.5,-6.491382710353409
2.0,6.0,10,40,2.0,-5.61780713727685
2.0,6.0,10,50,1.0,-9.423130730677967
2.0,6.0,10,50,1.5,-3.2812793778338163
2.0,6.0,10,50,2.0,-2.45479254385813
2.0,6.0,10,60,1.0,-8.665382441406255
2.0,6.0,10,60,1.5,-3.2812793778338163
