Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,Commission,ReturnPct,EntryTime,ExitTime,Duration,Tag,Entry_λ(H),Exit_λ(H),Entry_λ(L),Exit_λ(L),"Entry_calculate…(H,L,C)","Exit_calculate…(H,L,C)",Entry_λ(C),Exit_λ(C)
21,56,200,465.30653409695293,596.3017594726007,439.1887632553321,,2728.605958723642,22.293774164960624,0.2792430528280627,2025-04-25,2025-11-19,208 days,,466.16346405948764,636.190360053584,400.95658358107875,590.5791487748494,20.636223774156186,11.335378594833514,478.0412170410156,606.1737646484376
-21,202,203,586.7140389774793,600.3276507082315,600.3276507082315,,-310.81372182919756,24.927875483399927,-0.02522634952835371,2025-11-21,2025-11-24,3 days,,635.001840248536,635.001840248536,583.997582698434,579.992718365408,13.519710640915036,13.73300936957382,606.3007153320312,606.5836535644531
20,206,241,615.3172117702823,609.469970703125,597.1823365380748,,-141.44056499261328,24.495743649468146,-0.011493304777359097,2025-11-28,2026-01-21,54 days,,624.0559270220305,630.0,579.992718365408,607.0499877929688,13.01393442317926,8.658573695591517,607.9412463378907,615.5646813964844
19,246,247,635.4600219726562,621.368008858817,621.368008858817,,-291.6279817487436,23.879732585797992,-0.024153905224475632,2026-01-28,2026-01-29,1 days,,632.0399780273438,636.5999755859375,607.0499877929688,607.0499877929688,8.141422816685267,8.797132219587054,616.6294482421876,617.0565173339844
