lookback,exit_lookback,atr_stop_mult,Sharpe Ratio
5,3,1.0,1.1932096280649147
5,3,1.5,1.1932096280649147
5,3,2.0,1.1932096280649147
5,3,2.5,1.1932096280649147
5,3,3.0,1.1932096280649147
10,3,1.0,1.2062759515484645
10,3,1.5,1.2062759515484645
10,3,2.0,1.2062759515484645
10,3,2.5,1.2062759515484645
10,3,3.0,1.2062759515484645
10,5,1.0,1.1794680264571342
10,5,1.5,1.1794680264571342
10,5,2.0,1.1794680264571342
10,5,2.5,1.1794680264571342
10,5,3.0,1.1794680264571342
10,7,1.0,1.2528025070268471
10,7,1.5,1.2528025070268471
10,7,2.0,1.2528025070268471
10,7,2.5,1.2528025070268471
10,7,3.0,1.2528025070268471
10,9,1.0,1.233854449364659
10,9,1.5,1.233854449364659
10,9,2.0,1.233854449364659
10,9,2.5,1.233854449364659
10,9,3.0,1.233854449364659
15,3,1.0,1.0737822408955962
15,3,1.5,1.0737822408955962
15,3,2.0,1.0737822408955962
15,3,2.5,1.0737822408955962
15,3,3.0,1.0737822408955962
15,5,1.0,1.0633526315123552
15,5,1.5,1.0633526315123552
15,5,2.0,1.0633526315123552
15,5,2.5,1.0633526315123552
15,5,3.0,1.0633526315123552
15,7,1.0,1.1443154367898465
15,7,1.5,1.1443154367898465
15,7,2.0,1.1443154367898465
15,7,2.5,1.1443154367898465
15,7,3.0,1.1443154367898465
15,9,1.0,1.1591738329795063
15,9,1.5,1.1591738329795063
15,9,2.0,1.1591738329795063
15,9,2.5,1.1591738329795063
15,9,3.0,1.1591738329795063
15,11,1.0,1.0676747423747222
15,11,1.5,1.0676747423747222
15,11,2.0,1.0676747423747222
15,11,2.5,1.0676747423747222
15,11,3.0,1.0676747423747222
15,13,1.0,0.9491486707209708
15,13,1.5,0.9491486707209708
15,13,2.0,0.9491486707209708
15,13,2.5,0.9491486707209708
15,13,3.0,0.9491486707209708
20,3,1.0,1.054182798890193
20,3,1.5,1.054182798890193
20,3,2.0,1.054182798890193
20,3,2.5,1.054182798890193
20,3,3.0,1.054182798890193
20,5,1.0,1.0488184249509414
20,5,1.5,1.0488184249509414
20,5,2.0,1.0488184249509414
20,5,2.5,1.0488184249509414
20,5,3.0,1.0488184249509414
20,7,1.0,1.1319629835257095
