lookback,exit_lookback,atr_stop_mult,score
10,3,1.0,2.129826698908871
10,3,1.5,2.129826698908871
10,3,2.0,2.129826698908871
10,3,2.5,2.129826698908871
10,3,3.0,2.129826698908871
10,5,1.0,1.8630129777953188
10,5,1.5,1.8630129777953188
10,5,2.0,1.8630129777953188
10,5,2.5,1.8630129777953188
10,5,3.0,1.8630129777953188
10,7,1.0,1.7463984634662788
10,7,1.5,1.7463984634662788
10,7,2.0,1.7463984634662788
10,7,2.5,1.7463984634662788
10,7,3.0,1.7463984634662788
10,9,1.0,1.678411316828405
10,9,1.5,1.678411316828405
10,9,2.0,1.678411316828405
10,9,2.5,1.678411316828405
10,9,3.0,1.678411316828405
15,3,1.0,1.6349364608092891
15,3,1.5,1.6349364608092891
15,3,2.0,1.6349364608092891
15,3,2.5,1.6349364608092891
15,3,3.0,1.6349364608092891
15,5,1.0,1.523082436307558
15,5,1.5,1.523082436307558
15,5,2.0,1.523082436307558
15,5,2.5,1.523082436307558
15,5,3.0,1.523082436307558
15,7,1.0,1.3670381676792904
15,7,1.5,1.3670381676792904
15,7,2.0,1.3670381676792904
15,7,2.5,1.3670381676792904
15,7,3.0,1.3670381676792904
15,9,1.0,1.2913518066254852
15,9,1.5,1.2913518066254852
15,9,2.0,1.2913518066254852
15,9,2.5,1.2913518066254852
15,9,3.0,1.2913518066254852
15,11,1.0,1.680616951606448
15,11,1.5,1.680616951606448
15,11,2.0,1.680616951606448
15,11,2.5,1.680616951606448
15,11,3.0,1.680616951606448
15,13,1.0,1.6307186200999357
15,13,1.5,1.6307186200999357
15,13,2.0,1.6307186200999357
15,13,2.5,1.6307186200999357
15,13,3.0,1.6307186200999357
20,3,1.0,1.385980820867691
20,3,1.5,1.385980820867691
20,3,2.0,1.385980820867691
20,3,2.5,1.385980820867691
20,3,3.0,1.385980820867691
20,5,1.0,1.30231389326964
20,5,1.5,1.30231389326964
20,5,2.0,1.30231389326964
20,5,2.5,1.30231389326964
20,5,3.0,1.30231389326964
20,7,1.0,1.2405888758104517
20,7,1.5,1.2405888758104517
20,7,2.0,1.2405888758104517
20,7,2.5,1.2405888758104517
20,7,3.0,1.2405888758104517
20,9,1.0,1.1781586344025676
20,9,1.5,1.1781586344025676
20,9,2.0,1.1781586344025676
20,9,2.5,1.1781586344025676
20,9,3.0,1.1781586344025676
20,11,1.0,1.5276137433191492
20,11,1.5,1.5276137433191492
20,11,2.0,1.5276137433191492
20,11,2.5,1.5276137433191492
20,11,3.0,1.5276137433191492
20,13,1.0,1.481392350812272
20,13,1.5,1.481392350812272
20,13,2.0,1.481392350812272
20,13,2.5,1.481392350812272
20,13,3.0,1.481392350812272
20,15,1.0,1.160945647525605
20,15,1.5,1.160945647525605
20,15,2.0,1.160945647525605
20,15,2.5,1.160945647525605
20,15,3.0,1.160945647525605
20,17,1.0,1.2089184284529197
20,17,1.5,1.2089184284529197
20,17,2.0,1.2089184284529197
20,17,2.5,1.2089184284529197
20,17,3.0,1.2089184284529197
20,19,1.0,1.146691769767428
20,19,1.5,1.146691769767428
20,19,2.0,1.146691769767428
20,19,2.5,1.146691769767428
20,19,3.0,1.146691769767428
25,3,1.0,1.3759674232162646
25,3,1.5,1.3759674232162646
25,3,2.0,1.3759674232162646
25,3,2.5,1.3759674232162646
25,3,3.0,1.3759674232162646
25,5,1.0,1.2994119522120524
25,5,1.5,1.2994119522120524
25,5,2.0,1.2994119522120524
25,5,2.5,1.2994119522120524
25,5,3.0,1.2994119522120524
25,7,1.0,1.3080398849669082
25,7,1.5,1.3080398849669082
25,7,2.0,1.3080398849669082
25,7,2.5,1.3080398849669082
25,7,3.0,1.3080398849669082
25,9,1.0,1.244872280938262
25,9,1.5,1.244872280938262
25,9,2.0,1.244872280938262
25,9,2.5,1.244872280938262
25,9,3.0,1.244872280938262
25,11,1.0,1.5855804808533644
25,11,1.5,1.5855804808533644
25,11,2.0,1.5855804808533644
25,11,2.5,1.5855804808533644
25,11,3.0,1.5855804808533644
25,13,1.0,1.541066761274374
25,13,1.5,1.541066761274374
25,13,2.0,1.541066761274374
25,13,2.5,1.541066761274374
25,13,3.0,1.541066761274374
25,15,1.0,1.2242805292737358
25,15,1.5,1.2242805292737358
25,15,2.0,1.2242805292737358
25,15,2.5,1.2242805292737358
25,15,3.0,1.2242805292737358
25,17,1.0,1.2730256807480396
25,17,1.5,1.2730256807480396
25,17,2.0,1.2730256807480396
25,17,2.5,1.2730256807480396
25,17,3.0,1.2730256807480396
25,19,1.0,1.212780033519459
25,19,1.5,1.212780033519459
25,19,2.0,1.212780033519459
25,19,2.5,1.212780033519459
25,19,3.0,1.212780033519459
25,21,1.0,1.2514202781879407
25,21,1.5,1.2514202781879407
25,21,2.0,1.2514202781879407
25,21,2.5,1.2514202781879407
25,21,3.0,1.2514202781879407
25,23,1.0,1.307427029947303
25,23,1.5,1.307427029947303
25,23,2.0,1.307427029947303
25,23,2.5,1.307427029947303
25,23,3.0,1.307427029947303
30,3,1.0,1.216715810894994
30,3,1.5,1.216715810894994
30,3,2.0,1.216715810894994
30,3,2.5,1.216715810894994
30,3,3.0,1.216715810894994
30,5,1.0,1.1646431297563755
30,5,1.5,1.1646431297563755
